,Unnamed: 0,stars,useful,funny,cool,text,name,city,state,postal_code,latitude,longitude,review_count,is_open,categories,RestaurantsAttire,HasTV,RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsGoodForGroups,OutdoorSeating,BusinessParking,GoodForKids,NoiseLevel,RestaurantsTakeOut,Alcohol,WiFi,RestaurantsPriceRange2,Caters,BikeParking,Ambience,RestaurantsDelivery,GoodForMeal,year,preparedText,RestaurantsTableService,DriveThru,DogsAllowed,BYOBCorkage,Corkage,Topic0,Topic1,Topic2,Topic3,Topic4
10,10,1,0,0,0,"I went and ordered a 10 piece nugget, a whopper, and 2 Fish sandwiches. Burger King is my guys favorite so we go there a lot. This particular time my nuggets tasted wierd as hell and they where soft. Now those fish sandwiches.... where hard like damn rocks. I couldn't get down the first bite. It slick felt like I was biting on a rock. It would have cut my throat on the way down if I would have swallowed it!! I know it's fast food and it's not the best but damn at least put some sort of effort into your job. All you had to do is pull the fish out when the timer started to go off.  It's not difficult. It shouldn't stress you out. Easy!! Whoever made the sandwich grabbed this hockey puck of a fish sandwich and said fuck it.  What's annoying is no one is forcing you to work there. Just do the job you applied for and keep it pushing. What gets me is would you eat this shit? Do you cook like this at home when you fry your frozen fish patties in your deep fryer??? I've had some hard fish sandwiches in my day but today  ladies and gentlemen I was definitely tried to the highest power. I'm probably going to save this sandwich for them in the morning!! I'm not even that picky of a person. I didn't even complain when they charged me a for a frozen coke that I did not want. I just took it and kept it pushing. All I'm saying is quit!!! If your unhappy at Burger King.... leave Burger King!!!",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2018,"went order 10 piec nugget , whopper , 2 fish sandwich . burger king guy favorit go lot . particular time nugget tast wierd hell soft . fish sandwich .... hard like damn rock . could n't get first bite . slick felt like bite rock . would cut throat way would swallow ! ! know 's fast food 's best damn least put sort effort job . pull fish timer start go . 's difficult . n't stress . easi ! ! whoever made sandwich grab hockey puck fish sandwich said fuck . 's annoy one forc work . job appli keep push . get would eat shit ? cook like home fri frozen fish patti deep fryer ? ? ? 've hard fish sandwich day today ladi gentlemen definit tri highest power . 'm probabl go save sandwich morn ! ! 'm even picki person . n't even complain charg frozen coke want . took kept push . 'm say quit ! ! ! unhappi burger king .... leav burger king ! ! !",,,,,,0.21585410336809752,0.023547275828944912,0.10065366962541547,0.6583787486240653,0.0015662025534768655
11,11,2,0,0,0,"I am a much bigger fan of mcd than bk, but after seeing the recent commercials I decide to give it a try once again. 

I got the Alaskan fish combo with onion rings. 

The sandwich itself is decent, fish was fried well, enough sauce, lots of lettuce, I prefer it to the filet-o-fish. 

For the onion rings, they didn't drain the oil so it soaked through the box, through all the napkins, through the bag, and onto the table at home, which required me to find more napkins to clean it up, pretty unappetizing. 

With a Mcd next door, I don't see myself going to this Bk too often.  I might try the pulled pork they are advertising next time.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2013,"much bigger fan mcd bk , see recent commerci decid give tri . got alaskan fish combo onion ring . sandwich decent , fish fri well , enough sauc , lot lettuc , prefer filet-o-fish . onion ring , n't drain oil soak box , napkin , bag , onto tabl home , requir find napkin clean , pretti unappet . mcd next door , n't see go bk often . might tri pull pork advertis next time .",,,,,,0.2225533565426705,0.003297168024168979,0.003357892897464977,0.7221103593708048,0.04868122316489076
12,12,3,0,0,0,"This business is not closed anymore!  Drive through folks are nice but rush you.

Food was fine for what it is",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2017,busi close anymor ! drive folk nice rush . food fine,,,,,,0.6037568588798378,0.02007250111265806,0.020522469465313536,0.3354828881033073,0.02016528243888355
13,13,3,2,1,1,"I've only been here once, but it's very unlikely that I'll return.  Why?  Because there is a freakin' McDonald's right next door!  If you follow my reviews, you will know that *unfortunately, for my body* I love Mickey D's!  So the first time I saw the McDonald's and this Burger King side by side, I was shocked because I had never seen the two fast food giants in such close proximity to each other!

Anyway, my friend and I had enjoyed a DELICIOUS early dinner at Antico Pizza one Saturday afternoon and were in need of some coffee before our drive back home up north.  So we walked across the street to the Burger King.  I usually get my iced coffee from McDonald's, but for whatever reason, we decided to go to BK this time.

When I walked in, I was impressed with the interior design of this BK!  It looks like it must have been renovated fairly recently.  There were comfy-looking, cushiony seats at some of the tables, which actually turned out to be pretty comfy!  And the best thing I noticed about this particular BK is that they have not one but TWO Coke Freestyle machines!  I thought that was pretty awesome.

However, there were only two other customers in this BK while there were way more right next door.  Hmmm...  Not good...

My friend ordered a regular coffee and I decided to try their Iced Seattle's Best Vanilla Coffee.  At only $1.49 for a small iced coffee, it was reasonably priced.  However, it was probably the worst vanilla iced coffee I had ever had in my life.  I told my friend that it was way too sweet (too much syrup!) and literally tasted like melted coffee ice cream.  Gross...  =P  But I needed the caffeine and had already walked out before I had really had a chance to taste it, so I sucked it up (literally!) and just drank it.  Never again...

Overall, based on my one visit (since I probably won't return), this Burger King gets 2.5 stars rounded up to 3 stars.  It's ""OK"" because I like the layout and design as well as the Coke Freestyle machines, but I must repeat that the iced coffee was terrible.  The employees seemed friendly enough, and we got our coffees quickly since we were the only other customers besides the two who were already there.  Check out this BK if you happen to be craving Whoppers while passing through the area, but I would go to the McDonald's next door if you can't decided between the two.

[Review 157 of 366]",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2012,"'ve , 's unlik 'll return . ? freakin ' mcdonald 's right next door ! follow review , know * unfortun , bodi * love mickey 's ! first time saw mcdonald 's burger king side side , shock never seen two fast food giant close proxim ! anyway , friend enjoy delici earli dinner antico pizza one saturday afternoon need coffe drive back home north . walk across street burger king . usual get ice coffe mcdonald 's , whatev reason , decid go bk time . walk , impress interior design bk ! look like must renov fairli recent . comfy-look , cushioni seat tabl , actual turn pretti comfi ! best thing notic particular bk one two coke freestyl machin ! thought pretti awesom . howev , two custom bk way right next door . hmmm ... good ... friend order regular coffe decid tri ice seattl 's best vanilla coffe . $ 1.49 small ice coffe , reason price . howev , probabl worst vanilla ice coffe ever life . told friend way sweet ( much syrup ! ) liter tast like melt coffe ice cream . gross ... =p need caffein alreadi walk realli chanc tast , suck ( liter ! ) drank . never ... overal , base one visit ( sinc probabl wo n't return ) , burger king get 2.5 star round 3 star . 's `` ok '' like layout design well coke freestyl machin , must repeat ice coffe terribl . employe seem friendli enough , got coffe quickli sinc custom besid two alreadi . check bk happen crave whopper pass area , would go mcdonald 's next door ca n't decid two . [ review 157 366 ]",,,,,,0.21673695930931522,0.0009839081025746468,0.0009681072879818158,0.7758502293632995,0.005460795936828719
14,14,1,0,0,0,"I've tried to give the place a chance on numerous occasions. They are extremely slow even when there is no wait. Food has always been cold, even early in the morning. Yesterday, my breakfast sandwich was cold, the cheese wasn't even melted. Not to mention, I got sick less than an hour after eating it. I've lived in this area for 7 years and the few times I've tried have always been disappointing; compared to the surrounding restaurants.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2017,"'ve tri give place chanc numer occas . extrem slow even wait . food alway cold , even earli morn . yesterday , breakfast sandwich cold , chees n't even melt . mention , got sick less hour eat . 've live area 7 year time 've tri alway disappoint ; compar surround restaur .",,,,,,0.004761928268421888,0.004687550361966035,0.004764407698558259,0.9811315239432082,0.004654589727845665
15,15,3,1,0,0,No frills.  Its burger king open 24/7 surprising nice people.  And chicken fries for the win.  TREATYOSELF,Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2015,frill . burger king open 24/7 surpris nice peopl . chicken fri win . treatyoself,,,,,,0.017091124521502923,0.017457161672179308,0.01701824361557918,0.9316156893217292,0.016817780869009393
16,16,1,0,0,0,"I absolutely hate writing negative reviews but this one is just nessasary. 3 friends and myself went this this place march 1st around 4:00 AM. it is a 24 hour store so we go to get our food and we sat in the drive through about to order and the lady was the absolute rudest person i have ever come into contact with. just trying to order she was snarky and all around bitchy. we get to the window and pay her she snatched the money and walked off. we sat in this damn drive through for 42 minutes waiting on three meals. no service at all no ""I'm sorry for your wait"" no "" its going to take a minute"" nothing. so we finally got our food at 4:56AM we start looking through the bag making sure our food was right *note no one was behind or infant of us. She promptly said "" you gotta get the F**K out of my drive through so I told her i was just checking my food So this bitch replies with OK Mother Fu**cker I got something for your Ass. and she walked off at this point my friend was so angry we just left because it was getting borderline about to be physical. this place is a dump and i will talk trash about her and it for the life of that store. I will never even eat burger king again it was complete bull.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2015,absolut hate write neg review one nessasari . 3 friend went place march 1st around 4:00 . 24 hour store go get food sat drive order ladi absolut rudest person ever come contact . tri order snarki around bitchi . get window pay snatch money walk . sat damn drive 42 minut wait three meal . servic `` 'm sorri wait '' `` go take minut '' noth . final got food 4:56am start look bag make sure food right * note one behind infant us . promptli said `` got ta get f * * k drive told check food bitch repli ok mother fu * * cker got someth ass . walk point friend angri left get borderlin physic . place dump talk trash life store . never even eat burger king complet bull .,,,,,,0.3946995355356321,0.012657454157036013,0.2867334275703743,0.30401690504371903,0.0018926776932385397
17,17,4,1,1,1,"Went on a Tuesday night at 7:30...I was the only customer. Food made as I ordered, as I had to wait for fresh food, but that's totally okay with me! Staff was extremely friendly, especially the cashier. Restaurant is clean, health score for this month was an A at 99%. No complaints!",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2015,"went tuesday night 7:30 ... custom . food made order , wait fresh food , 's total okay ! staff extrem friendli , especi cashier . restaur clean , health score month 99 % . complaint !",,,,,,0.007947200911420482,0.007738697486352704,0.34270193666270604,0.6339146918284626,0.007697473111058036
18,18,1,0,0,0,"I ordered an Angry Whopper. The only thing that was angry was me. I have limited time on my lunch breaks so I grab food, go back to work, eat, and clock in. When I got back I opened my hopefully delicious noms, It was beautiful, but surprisingly small. I opened my sandwich. There was supposed to be spicy sauce, pepperjack, normal veg, fried onions ( like flat onion rings), jalapenos ( my favorite!), and bacon in addition to the classic whopper beef patty. I basically got a Whopper with fridge-cold fried onions with a dribbling of the spicy sauce. I pulled off the onions and ate it. If I had time, I would have thrown it away and eaten somewhere else. NEVER AGAIN.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2014,"order angri whopper . thing angri . limit time lunch break grab food , go back work , eat , clock . got back open hope delici nom , beauti , surprisingli small . open sandwich . suppos spici sauc , pepperjack , normal veg , fri onion ( like flat onion ring ) , jalapeno ( favorit ! ) , bacon addit classic whopper beef patti . basic got whopper fridge-cold fri onion dribbl spici sauc . pull onion ate . time , would thrown away eaten somewher els . never .",,,,,,0.003066242140578286,0.07096234279907389,0.00306769050467345,0.9092722990200104,0.013631425535663893
19,19,2,0,0,0,"I'm only giving this BK 2 stars because I really like Whoppers. But this particular store is terrible. It is visually appealing as it is one of the newer remodels, but the employees are incredibly rude. It's worth the drive to a different location.",Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2012,"'m give bk 2 star realli like whopper . particular store terribl . visual appeal one newer remodel , employe incred rude . 's worth drive differ locat .",,,,,,0.8242919867316739,0.14779789230939913,0.009355298475217823,0.009384151501564346,0.00917067098214484
20,20,2,0,0,0,I went to this location on 1/17/19 around 10a....I order a number one no meat extra egg and cheese....I then proceed to ask if they had a veggie patty for the breakfast menu.   The lady that took my order began to get upset and begin to talk reckless and begin snappy with an attitude yeah for lunch at 1030a...I said in was just asking... she then came back and said I was just saying.....another nice lady came on to verify my order ....the 2nd lady was nice and made it know that it wasnt me that was speaking.... I didnt even get a rcpt....the machine was broke,Burger King,Atlanta,GA,30318,33.785385,-84.40711,51,1,"Restaurants, Fast Food, Burgers",'casual',True,False,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'very_loud',True,'none','free',1,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",2019,went locat 1/17/19 around 10a .... order number one meat extra egg chees .... proceed ask veggi patti breakfast menu . ladi took order began get upset begin talk reckless begin snappi attitud yeah lunch 1030a ... said ask ... came back said say ..... anoth nice ladi came verifi order .... 2nd ladi nice made know wasnt speak .... didnt even get rcpt .... machin broke,,,,,,0.44715373344873827,0.003465917152074239,0.2147330507879072,0.3311869263809226,0.0034603722303576576
